定日镜序号,吸收塔x坐标(m),吸收塔y坐标(m),定日镜宽度(m),定日镜高度(m),定日镜x坐标(m),定日镜y坐标(m),定日镜z坐标(m),镜面面积(m2)
159,0.0,0.0,8.0,8.0,-262.944,60.015,6.0,64.0
160,0.0,0.0,8.0,8.0,-235.159,202.238,6.0,64.0
161,0.0,0.0,8.0,8.0,-290.627,142.42,6.0,64.0
162,0.0,0.0,8.0,8.0,-258.138,195.223,6.0,64.0
163,0.0,0.0,8.0,8.0,-102.969,174.11,6.0,64.0
164,0.0,0.0,8.0,8.0,-115.39,182.317,6.0,64.0
165,0.0,0.0,8.0,8.0,-284.213,85.088,6.0,64.0
166,0.0,0.0,8.0,8.0,-297.121,128.322,6.0,64.0
167,0.0,0.0,8.0,8.0,-252.664,42.542,6.0,64.0
168,0.0,0.0,8.0,8.0,-58.144,136.468,6.0,64.0
169,0.0,0.0,8.0,8.0,-293.644,99.865,6.0,64.0
170,0.0,0.0,8.0,8.0,-289.891,172.109,6.0,64.0
171,0.0,0.0,8.0,8.0,-281.167,186.019,6.0,64.0
172,0.0,0.0,8.0,8.0,-248.481,207.375,6.0,64.0
173,0.0,0.0,8.0,8.0,-297.926,157.79,6.0,64.0
174,0.0,0.0,8.0,8.0,-202.179,6.354,6.0,64.0
175,0.0,0.0,8.0,8.0,-188.794,0.0,6.0,64.0
176,0.0,0.0,8.0,8.0,-223.764,214.778,6.0,64.0
177,0.0,0.0,8.0,8.0,-203.592,215.794,6.0,64.0
178,0.0,0.0,8.0,8.0,-271.777,199.487,6.0,64.0
179,0.0,0.0,8.0,8.0,-302.931,113.929,6.0,64.0
180,0.0,0.0,8.0,8.0,-305.256,143.098,6.0,64.0
181,0.0,0.0,8.0,8.0,-138.367,199.437,6.0,64.0
182,0.0,0.0,8.0,8.0,-184.873,214.52,6.0,64.0
183,0.0,0.0,8.0,8.0,-168.159,210.864,6.0,64.0
184,0.0,0.0,8.0,8.0,-175.186,-6.555,6.0,64.0
185,0.0,0.0,8.0,8.0,-277.118,58.331,6.0,64.0
186,0.0,0.0,8.0,8.0,-238.253,219.05,6.0,64.0
187,0.0,0.0,8.0,8.0,-261.742,212.483,6.0,64.0
188,0.0,0.0,8.0,8.0,-265.895,45.177,6.0,64.0
189,0.0,0.0,8.0,8.0,-150.026,207.705,6.0,64.0
190,0.0,0.0,8.0,8.0,-311.861,128.066,6.0,64.0
191,0.0,0.0,8.0,8.0,-288.679,68.418,6.0,64.0
192,0.0,0.0,8.0,8.0,-298.66,83.681,6.0,64.0
193,0.0,0.0,8.0,8.0,-161.325,-12.697,6.0,64.0
194,0.0,0.0,8.0,8.0,-120.866,194.799,6.0,64.0
195,0.0,0.0,8.0,8.0,-228.788,14.54,6.0,64.0
196,0.0,0.0,8.0,8.0,-308.045,99.274,6.0,64.0
197,0.0,0.0,8.0,8.0,-241.679,22.618,6.0,64.0
198,0.0,0.0,8.0,8.0,-215.664,6.58,6.0,64.0
199,0.0,0.0,8.0,8.0,-211.702,226.677,6.0,64.0
200,0.0,0.0,8.0,8.0,-45.159,127.067,6.0,64.0
201,0.0,0.0,8.0,8.0,-251.087,224.975,6.0,64.0
202,0.0,0.0,8.0,8.0,-317.726,112.73,6.0,64.0
203,0.0,0.0,8.0,8.0,-254.638,28.435,6.0,64.0
204,0.0,0.0,8.0,8.0,-227.477,230.221,6.0,64.0
205,0.0,0.0,8.0,8.0,-190.7,227.267,6.0,64.0
206,0.0,0.0,8.0,8.0,-147.257,-17.88,6.0,64.0
207,0.0,0.0,8.0,8.0,-61.927,149.505,6.0,64.0
208,0.0,0.0,8.0,8.0,-104.061,189.012,6.0,64.0
209,0.0,0.0,8.0,8.0,-171.84,225.096,6.0,64.0
210,0.0,0.0,8.0,8.0,-312.451,84.391,6.0,64.0
211,0.0,0.0,8.0,8.0,-156.071,219.961,6.0,64.0
212,0.0,0.0,8.0,8.0,-70.105,160.681,6.0,64.0
213,0.0,0.0,8.0,8.0,-302.784,67.246,6.0,64.0
214,0.0,0.0,8.0,8.0,-239.835,236.933,6.0,64.0
215,0.0,0.0,8.0,8.0,-280.087,41.812,6.0,64.0
216,0.0,0.0,8.0,8.0,-322.838,97.127,6.0,64.0
217,0.0,0.0,8.0,8.0,-292.169,51.517,6.0,64.0
218,0.0,0.0,8.0,8.0,-268.01,30.197,6.0,64.0
219,0.0,0.0,8.0,8.0,-125.7,207.653,6.0,64.0
220,0.0,0.0,8.0,8.0,-199.007,237.9,6.0,64.0
221,0.0,0.0,8.0,8.0,-216.177,240.862,6.0,64.0
222,0.0,0.0,8.0,8.0,-138.251,215.721,6.0,64.0
223,0.0,0.0,8.0,8.0,-316.137,69.313,6.0,64.0
224,0.0,0.0,8.0,8.0,-228.015,248.329,6.0,64.0
225,0.0,0.0,8.0,8.0,-32.871,116.831,6.0,64.0
226,0.0,0.0,8.0,8.0,-177.163,237.971,6.0,64.0
227,0.0,0.0,8.0,8.0,-327.184,81.294,6.0,64.0
228,0.0,0.0,8.0,8.0,-242.618,7.549,6.0,64.0
229,0.0,0.0,8.0,8.0,-108.268,202.073,6.0,64.0
230,0.0,0.0,8.0,8.0,-255.824,14.239,6.0,64.0
231,0.0,0.0,8.0,8.0,-229.25,0.0,6.0,64.0
232,0.0,0.0,8.0,8.0,-306.004,50.611,6.0,64.0
233,0.0,0.0,8.0,8.0,-215.664,-6.58,6.0,64.0
234,0.0,0.0,8.0,8.0,-174.206,-19.628,6.0,64.0
235,0.0,0.0,8.0,8.0,-158.204,234.88,6.0,64.0
236,0.0,0.0,8.0,8.0,-204.38,250.95,6.0,64.0
237,0.0,0.0,8.0,8.0,-143.492,228.366,6.0,64.0
238,0.0,0.0,8.0,8.0,-185.719,248.412,6.0,64.0
239,0.0,0.0,8.0,8.0,-282.072,25.146,6.0,64.0
240,0.0,0.0,8.0,8.0,-72.248,174.423,6.0,64.0
241,0.0,0.0,8.0,8.0,-294.67,34.442,6.0,64.0
242,0.0,0.0,8.0,8.0,-92.344,195.005,6.0,64.0
243,0.0,0.0,8.0,8.0,-215.654,259.136,6.0,64.0
244,0.0,0.0,8.0,8.0,-269.281,15.123,6.0,64.0
245,0.0,0.0,8.0,8.0,-319.097,54.076,6.0,64.0
246,0.0,0.0,8.0,8.0,-330.754,65.268,6.0,64.0
247,0.0,0.0,8.0,8.0,-126.048,223.071,6.0,64.0
248,0.0,0.0,8.0,8.0,-80.335,185.643,6.0,64.0
249,0.0,0.0,8.0,8.0,-112.547,215.066,6.0,64.0
250,0.0,0.0,8.0,8.0,-163.026,247.869,6.0,64.0
251,0.0,0.0,8.0,8.0,-192.114,260.46,6.0,64.0
252,0.0,0.0,8.0,8.0,-308.312,33.825,6.0,64.0
253,0.0,0.0,8.0,8.0,-201.381,-19.036,6.0,64.0
254,0.0,0.0,8.0,8.0,-131.373,-30.435,6.0,64.0
255,0.0,0.0,8.0,8.0,-256.22,0.0,6.0,64.0
256,0.0,0.0,8.0,8.0,-57.901,165.471,6.0,64.0
257,0.0,0.0,8.0,8.0,-202.782,269.328,6.0,64.0
258,0.0,0.0,8.0,8.0,-171.876,258.184,6.0,64.0
259,0.0,0.0,8.0,8.0,-242.618,-7.549,6.0,64.0
260,0.0,0.0,8.0,8.0,-321.323,38.715,6.0,64.0
261,0.0,0.0,8.0,8.0,-144.011,243.84,6.0,64.0
262,0.0,0.0,8.0,8.0,-187.179,-24.643,6.0,64.0
263,0.0,0.0,8.0,8.0,-333.539,49.087,6.0,64.0
264,0.0,0.0,8.0,8.0,-130.462,236.053,6.0,64.0
265,0.0,0.0,8.0,8.0,-95.234,208.533,6.0,64.0
266,0.0,0.0,8.0,8.0,-228.788,-14.54,6.0,64.0
267,0.0,0.0,8.0,8.0,-296.174,17.25,6.0,64.0
268,0.0,0.0,8.0,8.0,-283.067,8.392,6.0,64.0
269,0.0,0.0,8.0,8.0,-214.862,-19.715,6.0,64.0
270,0.0,0.0,8.0,8.0,-269.706,0.0,6.0,64.0
271,0.0,0.0,8.0,8.0,-179.405,269.372,6.0,64.0
272,0.0,0.0,8.0,8.0,-113.456,229.731,6.0,64.0
273,0.0,0.0,8.0,8.0,-80.284,200.272,6.0,64.0
274,0.0,0.0,8.0,8.0,-148.338,256.929,6.0,64.0
275,0.0,0.0,8.0,8.0,-309.699,16.938,6.0,64.0
276,0.0,0.0,8.0,8.0,-189.428,278.881,6.0,64.0
277,0.0,0.0,8.0,8.0,-335.534,32.789,6.0,64.0
278,0.0,0.0,8.0,8.0,-172.252,-32.592,6.0,64.0
279,0.0,0.0,8.0,8.0,-17.453,106.461,6.0,64.0
280,0.0,0.0,8.0,8.0,-322.81,23.265,6.0,64.0
281,0.0,0.0,8.0,8.0,-98.959,221.647,6.0,64.0
282,0.0,0.0,8.0,8.0,-35.5,144.028,6.0,64.0
283,0.0,0.0,8.0,8.0,-157.52,267.184,6.0,64.0
284,0.0,0.0,8.0,8.0,-102.235,-34.447,6.0,64.0
285,0.0,0.0,8.0,8.0,-115.976,-35.774,6.0,64.0
286,0.0,0.0,8.0,8.0,-255.824,-14.239,6.0,64.0
287,0.0,0.0,8.0,8.0,-129.313,251.943,6.0,64.0
288,0.0,0.0,8.0,8.0,-117.021,242.996,6.0,64.0
289,0.0,0.0,8.0,8.0,-166.284,277.663,6.0,64.0
290,0.0,0.0,8.0,8.0,-296.676,0.0,6.0,64.0
291,0.0,0.0,8.0,8.0,-241.679,-22.618,6.0,64.0
292,0.0,0.0,8.0,8.0,-157.352,-37.777,6.0,64.0
293,0.0,0.0,8.0,8.0,-283.067,-8.392,6.0,64.0
294,0.0,0.0,8.0,8.0,-175.626,287.774,6.0,64.0
295,0.0,0.0,8.0,8.0,-269.281,-15.123,6.0,64.0
296,0.0,0.0,8.0,8.0,-81.816,214.153,6.0,64.0
297,0.0,0.0,8.0,8.0,-227.405,-29.021,6.0,64.0
298,0.0,0.0,8.0,8.0,-336.732,16.414,6.0,64.0
299,0.0,0.0,8.0,8.0,-323.554,7.761,6.0,64.0
300,0.0,0.0,8.0,8.0,-213.26,-32.778,6.0,64.0
301,0.0,0.0,8.0,8.0,-310.161,0.0,6.0,64.0
302,0.0,0.0,8.0,8.0,-100.514,235.682,6.0,64.0
303,0.0,0.0,8.0,8.0,-45.373,169.335,6.0,64.0
304,0.0,0.0,8.0,8.0,-37.777,157.352,6.0,64.0
305,0.0,0.0,8.0,8.0,-133.148,265.12,6.0,64.0
306,0.0,0.0,8.0,8.0,-142.481,-41.27,6.0,64.0
307,0.0,0.0,8.0,8.0,-142.694,275.388,6.0,64.0
308,0.0,0.0,8.0,8.0,-67.925,204.794,6.0,64.0
309,0.0,0.0,8.0,8.0,-152.78,285.317,6.0,64.0
310,0.0,0.0,8.0,8.0,-84.988,227.371,6.0,64.0
311,0.0,0.0,8.0,8.0,-254.638,-28.435,6.0,64.0
312,0.0,0.0,8.0,8.0,-21.399,133.144,6.0,64.0
313,0.0,0.0,8.0,8.0,-48.863,182.361,6.0,64.0
314,0.0,0.0,8.0,8.0,-161.406,295.983,6.0,64.0
315,0.0,0.0,8.0,8.0,-114.161,259.161,6.0,64.0
316,0.0,0.0,8.0,8.0,-56.434,194.247,6.0,64.0
317,0.0,0.0,8.0,8.0,-103.212,249.176,6.0,64.0
318,0.0,0.0,8.0,8.0,-296.174,-17.25,6.0,64.0
319,0.0,0.0,8.0,8.0,-337.132,0.0,6.0,64.0
320,0.0,0.0,8.0,8.0,-323.554,-7.761,6.0,64.0
321,0.0,0.0,8.0,8.0,-282.072,-25.146,6.0,64.0
322,0.0,0.0,8.0,8.0,-169.335,-45.373,6.0,64.0
323,0.0,0.0,8.0,8.0,-268.01,-30.197,6.0,64.0
324,0.0,0.0,8.0,8.0,-239.805,-37.599,6.0,64.0
325,0.0,0.0,8.0,8.0,-197.408,-44.126,6.0,64.0
326,0.0,0.0,8.0,8.0,-309.699,-16.938,6.0,64.0
327,0.0,0.0,8.0,8.0,-87.261,240.903,6.0,64.0
328,0.0,0.0,8.0,8.0,-117.507,272.413,6.0,64.0
329,0.0,0.0,8.0,8.0,-68.069,218.911,6.0,64.0
330,0.0,0.0,8.0,8.0,-138.925,292.313,6.0,64.0
331,0.0,0.0,8.0,8.0,-127.443,282.769,6.0,64.0
332,0.0,0.0,8.0,8.0,-225.107,-43.386,6.0,64.0
333,0.0,0.0,8.0,8.0,-210.865,-45.718,6.0,64.0
334,0.0,0.0,8.0,8.0,-182.361,-48.863,6.0,64.0
335,0.0,0.0,8.0,8.0,-146.804,303.491,6.0,64.0
336,0.0,0.0,8.0,8.0,-336.732,-16.414,6.0,64.0
337,0.0,0.0,8.0,8.0,-252.664,-42.542,6.0,64.0
338,0.0,0.0,8.0,8.0,-55.314,208.554,6.0,64.0
339,0.0,0.0,8.0,8.0,-322.81,-23.265,6.0,64.0
340,0.0,0.0,8.0,8.0,-32.592,172.252,6.0,64.0
341,0.0,0.0,8.0,8.0,-89.078,254.571,6.0,64.0
342,0.0,0.0,8.0,8.0,-98.608,265.469,6.0,64.0
343,0.0,0.0,8.0,8.0,-70.688,232.214,6.0,64.0
344,0.0,0.0,8.0,8.0,-294.67,-34.442,6.0,64.0
345,0.0,0.0,8.0,8.0,-9.07,121.028,6.0,64.0
346,0.0,0.0,8.0,8.0,-308.312,-33.825,6.0,64.0
347,0.0,0.0,8.0,8.0,-280.087,-41.812,6.0,64.0
348,0.0,0.0,8.0,8.0,-265.895,-45.177,6.0,64.0
349,0.0,0.0,8.0,8.0,-124.75,298.638,6.0,64.0
350,0.0,0.0,8.0,8.0,-111.811,289.307,6.0,64.0
351,0.0,0.0,8.0,8.0,-73.738,245.381,6.0,64.0
352,0.0,0.0,8.0,8.0,-101.469,278.784,6.0,64.0
353,0.0,0.0,8.0,8.0,-237.004,-52.435,6.0,64.0
354,0.0,0.0,8.0,8.0,-131.854,310.278,6.0,64.0
355,0.0,0.0,8.0,8.0,-335.534,-32.789,6.0,64.0
356,0.0,0.0,8.0,8.0,-321.323,-38.715,6.0,64.0
357,0.0,0.0,8.0,8.0,-54.048,222.788,6.0,64.0
358,0.0,0.0,8.0,8.0,-165.471,-57.901,6.0,64.0
359,0.0,0.0,8.0,8.0,-123.689,-53.726,6.0,64.0
360,0.0,0.0,8.0,8.0,-221.902,-57.576,6.0,64.0
361,0.0,0.0,8.0,8.0,-207.686,-58.488,6.0,64.0
362,0.0,0.0,8.0,8.0,-249.909,-56.518,6.0,64.0
363,0.0,0.0,8.0,8.0,-74.664,259.165,6.0,64.0
364,0.0,0.0,8.0,8.0,-292.169,-51.517,6.0,64.0
365,0.0,0.0,8.0,8.0,-82.708,270.844,6.0,64.0
366,0.0,0.0,8.0,8.0,-42.497,211.538,6.0,64.0
367,0.0,0.0,8.0,8.0,-110.288,304.276,6.0,64.0
368,0.0,0.0,8.0,8.0,-11.936,147.857,6.0,64.0
369,0.0,0.0,8.0,8.0,-306.004,-50.611,6.0,64.0
370,0.0,0.0,8.0,8.0,-56.115,236.16,6.0,64.0
371,0.0,0.0,8.0,8.0,-116.591,316.33,6.0,64.0
372,0.0,0.0,8.0,8.0,-262.944,-60.015,6.0,64.0
373,0.0,0.0,8.0,8.0,-277.118,-58.331,6.0,64.0
374,0.0,0.0,8.0,8.0,-95.845,294.981,6.0,64.0
375,0.0,0.0,8.0,8.0,-333.539,-49.087,6.0,64.0
376,0.0,0.0,8.0,8.0,-149.505,-61.927,6.0,64.0
377,0.0,0.0,8.0,8.0,-85.088,284.213,6.0,64.0
378,0.0,0.0,8.0,8.0,-59.987,249.099,6.0,64.0
379,0.0,0.0,8.0,8.0,-31.643,199.789,6.0,64.0
380,0.0,0.0,8.0,8.0,-19.628,174.206,6.0,64.0
381,0.0,0.0,8.0,8.0,-319.097,-54.076,6.0,64.0
382,0.0,0.0,8.0,8.0,-24.643,187.179,6.0,64.0
383,0.0,0.0,8.0,8.0,-233.286,-67.068,6.0,64.0
384,0.0,0.0,8.0,8.0,-12.697,161.325,6.0,64.0
385,0.0,0.0,8.0,8.0,-190.321,-68.52,6.0,64.0
386,0.0,0.0,8.0,8.0,-95.573,309.214,6.0,64.0
387,0.0,0.0,8.0,8.0,-39.809,225.767,6.0,64.0
388,0.0,0.0,8.0,8.0,-246.382,-70.32,6.0,64.0
389,0.0,0.0,8.0,8.0,-134.016,-63.591,6.0,64.0
390,0.0,0.0,8.0,8.0,-203.734,-71.041,6.0,64.0
391,0.0,0.0,8.0,8.0,-217.804,-71.534,6.0,64.0
392,0.0,0.0,8.0,8.0,-60.015,262.944,6.0,64.0
