定日镜序号,吸收塔x坐标(m),吸收塔y坐标(m),定日镜宽度(m),定日镜高度(m),定日镜x坐标(m),定日镜y坐标(m),定日镜z坐标(m),镜面面积(m2)
218,0.0,0.0,6.0,6.0,-89.113,118.588,4.0,36.0
219,0.0,0.0,6.0,6.0,-98.366,111.033,4.0,36.0
220,0.0,0.0,6.0,6.0,-106.982,102.757,4.0,36.0
221,0.0,0.0,6.0,6.0,-114.903,93.816,4.0,36.0
222,0.0,0.0,6.0,6.0,-122.08,84.266,4.0,36.0
223,0.0,0.0,6.0,6.0,-128.465,74.169,4.0,36.0
224,0.0,0.0,6.0,6.0,-134.016,63.591,4.0,36.0
225,0.0,0.0,6.0,6.0,-138.699,52.601,4.0,36.0
226,0.0,0.0,6.0,6.0,-142.481,41.27,4.0,36.0
227,0.0,0.0,6.0,6.0,-145.34,29.671,4.0,36.0
228,0.0,0.0,6.0,6.0,-147.257,17.88,4.0,36.0
229,0.0,0.0,6.0,6.0,-148.218,5.973,4.0,36.0
230,0.0,0.0,6.0,6.0,-148.218,-5.973,4.0,36.0
231,0.0,0.0,6.0,6.0,-147.257,-17.88,4.0,36.0
232,0.0,0.0,6.0,6.0,-145.34,-29.671,4.0,36.0
233,0.0,0.0,6.0,6.0,-142.481,-41.27,4.0,36.0
234,0.0,0.0,6.0,6.0,-138.699,-52.601,4.0,36.0
235,0.0,0.0,6.0,6.0,-134.016,-63.591,4.0,36.0
236,0.0,0.0,6.0,6.0,-128.465,-74.169,4.0,36.0
237,0.0,0.0,6.0,6.0,-122.08,-84.266,4.0,36.0
238,0.0,0.0,6.0,6.0,-114.903,-93.816,4.0,36.0
239,0.0,0.0,6.0,6.0,-106.982,-102.757,4.0,36.0
240,0.0,0.0,6.0,6.0,-98.366,-111.033,4.0,36.0
241,0.0,0.0,6.0,6.0,-89.113,-118.588,4.0,36.0
242,0.0,0.0,6.0,6.0,-79.282,-125.374,4.0,36.0
243,0.0,0.0,6.0,6.0,-68.936,-131.347,4.0,36.0
244,0.0,0.0,6.0,6.0,-58.144,-136.468,4.0,36.0
245,0.0,0.0,6.0,6.0,-46.974,-140.704,4.0,36.0
246,0.0,0.0,6.0,6.0,-35.5,-144.028,4.0,36.0
247,0.0,0.0,6.0,6.0,-23.795,-146.417,4.0,36.0
248,0.0,0.0,6.0,6.0,-11.936,-147.857,4.0,36.0
249,0.0,0.0,6.0,6.0,0.0,-148.338,4.0,36.0
250,0.0,0.0,6.0,6.0,11.936,-147.857,4.0,36.0
251,0.0,0.0,6.0,6.0,23.795,-146.417,4.0,36.0
252,0.0,0.0,6.0,6.0,35.5,-144.028,4.0,36.0
253,0.0,0.0,6.0,6.0,46.974,-140.704,4.0,36.0
254,0.0,0.0,6.0,6.0,58.144,-136.468,4.0,36.0
255,0.0,0.0,6.0,6.0,68.936,-131.347,4.0,36.0
256,0.0,0.0,6.0,6.0,79.282,-125.374,4.0,36.0
257,0.0,0.0,6.0,6.0,89.113,-118.588,4.0,36.0
258,0.0,0.0,6.0,6.0,98.366,-111.033,4.0,36.0
259,0.0,0.0,6.0,6.0,106.982,-102.757,4.0,36.0
260,0.0,0.0,6.0,6.0,114.903,-93.816,4.0,36.0
261,0.0,0.0,6.0,6.0,122.08,-84.266,4.0,36.0
262,0.0,0.0,6.0,6.0,128.465,-74.169,4.0,36.0
263,0.0,0.0,6.0,6.0,134.016,-63.591,4.0,36.0
264,0.0,0.0,6.0,6.0,138.699,-52.601,4.0,36.0
265,0.0,0.0,6.0,6.0,142.481,-41.27,4.0,36.0
266,0.0,0.0,6.0,6.0,145.34,-29.671,4.0,36.0
267,0.0,0.0,6.0,6.0,147.257,-17.88,4.0,36.0
268,0.0,0.0,6.0,6.0,148.218,-5.973,4.0,36.0
269,0.0,0.0,6.0,6.0,161.325,12.697,4.0,36.0
270,0.0,0.0,6.0,6.0,159.831,25.315,4.0,36.0
271,0.0,0.0,6.0,6.0,157.352,37.777,4.0,36.0
272,0.0,0.0,6.0,6.0,153.903,50.006,4.0,36.0
273,0.0,0.0,6.0,6.0,149.505,61.927,4.0,36.0
274,0.0,0.0,6.0,6.0,144.186,73.466,4.0,36.0
275,0.0,0.0,6.0,6.0,137.977,84.552,4.0,36.0
276,0.0,0.0,6.0,6.0,130.918,95.117,4.0,36.0
277,0.0,0.0,6.0,6.0,123.051,105.096,4.0,36.0
278,0.0,0.0,6.0,6.0,114.426,114.426,4.0,36.0
279,0.0,0.0,6.0,6.0,105.096,123.051,4.0,36.0
280,0.0,0.0,6.0,6.0,95.117,130.918,4.0,36.0
281,0.0,0.0,6.0,6.0,84.552,137.977,4.0,36.0
282,0.0,0.0,6.0,6.0,73.466,144.186,4.0,36.0
283,0.0,0.0,6.0,6.0,61.927,149.505,4.0,36.0
284,0.0,0.0,6.0,6.0,50.006,153.903,4.0,36.0
285,0.0,0.0,6.0,6.0,37.777,157.352,4.0,36.0
286,0.0,0.0,6.0,6.0,25.315,159.831,4.0,36.0
287,0.0,0.0,6.0,6.0,12.697,161.325,4.0,36.0
288,0.0,0.0,6.0,6.0,0.0,161.823,4.0,36.0
289,0.0,0.0,6.0,6.0,-12.697,161.325,4.0,36.0
290,0.0,0.0,6.0,6.0,-25.315,159.831,4.0,36.0
291,0.0,0.0,6.0,6.0,-37.777,157.352,4.0,36.0
292,0.0,0.0,6.0,6.0,-50.006,153.903,4.0,36.0
293,0.0,0.0,6.0,6.0,-61.927,149.505,4.0,36.0
294,0.0,0.0,6.0,6.0,-73.466,144.186,4.0,36.0
295,0.0,0.0,6.0,6.0,-84.552,137.977,4.0,36.0
296,0.0,0.0,6.0,6.0,-95.117,130.918,4.0,36.0
297,0.0,0.0,6.0,6.0,-105.096,123.051,4.0,36.0
298,0.0,0.0,6.0,6.0,-114.426,114.426,4.0,36.0
299,0.0,0.0,6.0,6.0,-123.051,105.096,4.0,36.0
300,0.0,0.0,6.0,6.0,-130.918,95.117,4.0,36.0
301,0.0,0.0,6.0,6.0,-137.977,84.552,4.0,36.0
302,0.0,0.0,6.0,6.0,-144.186,73.466,4.0,36.0
303,0.0,0.0,6.0,6.0,-149.505,61.927,4.0,36.0
304,0.0,0.0,6.0,6.0,-153.903,50.006,4.0,36.0
305,0.0,0.0,6.0,6.0,-157.352,37.777,4.0,36.0
306,0.0,0.0,6.0,6.0,-159.831,25.315,4.0,36.0
307,0.0,0.0,6.0,6.0,-161.325,12.697,4.0,36.0
308,0.0,0.0,6.0,6.0,-161.823,0.0,4.0,36.0
309,0.0,0.0,6.0,6.0,-161.325,-12.697,4.0,36.0
310,0.0,0.0,6.0,6.0,-159.831,-25.315,4.0,36.0
311,0.0,0.0,6.0,6.0,-157.352,-37.777,4.0,36.0
312,0.0,0.0,6.0,6.0,-153.903,-50.006,4.0,36.0
313,0.0,0.0,6.0,6.0,-149.505,-61.927,4.0,36.0
314,0.0,0.0,6.0,6.0,-144.186,-73.466,4.0,36.0
315,0.0,0.0,6.0,6.0,-137.977,-84.552,4.0,36.0
316,0.0,0.0,6.0,6.0,-130.918,-95.117,4.0,36.0
317,0.0,0.0,6.0,6.0,-123.051,-105.096,4.0,36.0
318,0.0,0.0,6.0,6.0,-114.426,-114.426,4.0,36.0
319,0.0,0.0,6.0,6.0,-105.096,-123.051,4.0,36.0
320,0.0,0.0,6.0,6.0,-95.117,-130.918,4.0,36.0
321,0.0,0.0,6.0,6.0,-84.552,-137.977,4.0,36.0
322,0.0,0.0,6.0,6.0,-73.466,-144.186,4.0,36.0
323,0.0,0.0,6.0,6.0,-61.927,-149.505,4.0,36.0
324,0.0,0.0,6.0,6.0,-50.006,-153.903,4.0,36.0
325,0.0,0.0,6.0,6.0,-37.777,-157.352,4.0,36.0
326,0.0,0.0,6.0,6.0,-25.315,-159.831,4.0,36.0
327,0.0,0.0,6.0,6.0,-12.697,-161.325,4.0,36.0
328,0.0,0.0,6.0,6.0,0.0,-161.823,4.0,36.0
329,0.0,0.0,6.0,6.0,12.697,-161.325,4.0,36.0
330,0.0,0.0,6.0,6.0,25.315,-159.831,4.0,36.0
331,0.0,0.0,6.0,6.0,37.777,-157.352,4.0,36.0
332,0.0,0.0,6.0,6.0,50.006,-153.903,4.0,36.0
333,0.0,0.0,6.0,6.0,61.927,-149.505,4.0,36.0
334,0.0,0.0,6.0,6.0,73.466,-144.186,4.0,36.0
335,0.0,0.0,6.0,6.0,84.552,-137.977,4.0,36.0
336,0.0,0.0,6.0,6.0,95.117,-130.918,4.0,36.0
337,0.0,0.0,6.0,6.0,105.096,-123.051,4.0,36.0
338,0.0,0.0,6.0,6.0,114.426,-114.426,4.0,36.0
339,0.0,0.0,6.0,6.0,123.051,-105.096,4.0,36.0
340,0.0,0.0,6.0,6.0,130.918,-95.117,4.0,36.0
341,0.0,0.0,6.0,6.0,137.977,-84.552,4.0,36.0
342,0.0,0.0,6.0,6.0,144.186,-73.466,4.0,36.0
343,0.0,0.0,6.0,6.0,149.505,-61.927,4.0,36.0
344,0.0,0.0,6.0,6.0,153.903,-50.006,4.0,36.0
345,0.0,0.0,6.0,6.0,157.352,-37.777,4.0,36.0
346,0.0,0.0,6.0,6.0,159.831,-25.315,4.0,36.0
347,0.0,0.0,6.0,6.0,161.325,-12.697,4.0,36.0
348,0.0,0.0,6.0,6.0,161.823,0.0,4.0,36.0
349,0.0,0.0,6.0,6.0,175.186,6.555,4.0,36.0
350,0.0,0.0,6.0,6.0,174.206,19.628,4.0,36.0
351,0.0,0.0,6.0,6.0,172.252,32.592,4.0,36.0
352,0.0,0.0,6.0,6.0,169.335,45.373,4.0,36.0
353,0.0,0.0,6.0,6.0,165.471,57.901,4.0,36.0
354,0.0,0.0,6.0,6.0,160.681,70.105,4.0,36.0
355,0.0,0.0,6.0,6.0,154.993,81.916,4.0,36.0
356,0.0,0.0,6.0,6.0,148.438,93.27,4.0,36.0
357,0.0,0.0,6.0,6.0,141.053,104.102,4.0,36.0
358,0.0,0.0,6.0,6.0,132.879,114.352,4.0,36.0
359,0.0,0.0,6.0,6.0,123.962,123.962,4.0,36.0
360,0.0,0.0,6.0,6.0,114.352,132.879,4.0,36.0
361,0.0,0.0,6.0,6.0,104.102,141.053,4.0,36.0
362,0.0,0.0,6.0,6.0,93.27,148.438,4.0,36.0
363,0.0,0.0,6.0,6.0,81.916,154.993,4.0,36.0
364,0.0,0.0,6.0,6.0,70.105,160.681,4.0,36.0
365,0.0,0.0,6.0,6.0,57.901,165.471,4.0,36.0
366,0.0,0.0,6.0,6.0,45.373,169.335,4.0,36.0
367,0.0,0.0,6.0,6.0,32.592,172.252,4.0,36.0
368,0.0,0.0,6.0,6.0,19.628,174.206,4.0,36.0
369,0.0,0.0,6.0,6.0,6.555,175.186,4.0,36.0
370,0.0,0.0,6.0,6.0,-6.555,175.186,4.0,36.0
371,0.0,0.0,6.0,6.0,-19.628,174.206,4.0,36.0
372,0.0,0.0,6.0,6.0,-32.592,172.252,4.0,36.0
373,0.0,0.0,6.0,6.0,-45.373,169.335,4.0,36.0
374,0.0,0.0,6.0,6.0,-57.901,165.471,4.0,36.0
375,0.0,0.0,6.0,6.0,-70.105,160.681,4.0,36.0
376,0.0,0.0,6.0,6.0,-81.916,154.993,4.0,36.0
377,0.0,0.0,6.0,6.0,-93.27,148.438,4.0,36.0
378,0.0,0.0,6.0,6.0,-104.102,141.053,4.0,36.0
379,0.0,0.0,6.0,6.0,-114.352,132.879,4.0,36.0
380,0.0,0.0,6.0,6.0,-123.962,123.962,4.0,36.0
381,0.0,0.0,6.0,6.0,-132.879,114.352,4.0,36.0
382,0.0,0.0,6.0,6.0,-141.053,104.102,4.0,36.0
383,0.0,0.0,6.0,6.0,-148.438,93.27,4.0,36.0
384,0.0,0.0,6.0,6.0,-154.993,81.916,4.0,36.0
385,0.0,0.0,6.0,6.0,-160.681,70.105,4.0,36.0
386,0.0,0.0,6.0,6.0,-165.471,57.901,4.0,36.0
387,0.0,0.0,6.0,6.0,-169.335,45.373,4.0,36.0
388,0.0,0.0,6.0,6.0,-172.252,32.592,4.0,36.0
389,0.0,0.0,6.0,6.0,-174.206,19.628,4.0,36.0
390,0.0,0.0,6.0,6.0,-175.186,6.555,4.0,36.0
391,0.0,0.0,6.0,6.0,-175.186,-6.555,4.0,36.0
392,0.0,0.0,6.0,6.0,-174.206,-19.628,4.0,36.0
393,0.0,0.0,6.0,6.0,-172.252,-32.592,4.0,36.0
394,0.0,0.0,6.0,6.0,-169.335,-45.373,4.0,36.0
395,0.0,0.0,6.0,6.0,-165.471,-57.901,4.0,36.0
